CI_Cat,CI_Subcat,Impact,Urgency,Category,No_of_Reassignments,Handle_Time_hrs,No_of_Related_Interactions,High_Priority
application,Web Based Application,5,5,incident,0,2564805556.0,1,1
application,Server Based Application,4,4,incident,8,3693833333.0,1,1
subapplication,Web Based Application,4,4,incident,0,492777778.0,1,1
application,Desktop Application,3,3,incident,0,4040666667.0,2,1
subapplication,Web Based Application,4,4,incident,0,858611111.0,1,1
subapplication,Web Based Application,4,4,incident,0,333055556.0,1,1
subapplication,Web Based Application,4,4,incident,0,193055556.0,1,1
application,Server Based Application,4,4,incident,0,813055556.0,1,1
subapplication,Web Based Application,NS,3,incident,1,31111111.0,1,1
application,SAP,4,4,incident,10,2590111111.0,1,1
application,Server Based Application,3,3,incident,2,142775.0,1,1
application,Web Based Application,4,4,incident,0,2483333333.0,1,1
computer,Banking Device,2,2,incident,0,274.0,1,0
application,Server Based Application,4,4,incident,0,691944444.0,1,1
subapplication,Web Based Application,4,4,incident,2,64725.0,1,1
application,Server Based Application,4,4,incident,5,6385583333.0,1,1
application,Server Based Application,5,5,request for information,2,6915277778.0,1,1
application,Web Based Application,5,5,incident,0,397777778.0,1,1
application,Web Based Application,4,4,incident,0,1086111111.0,1,1
subapplication,Server Based Application,4,4,incident,4,8049722222.0,1,1
application,Server Based Application,5,5,request for information,0,312222222.0,1,1
application,Web Based Application,4,4,incident,0,1348333333.0,1,1
application,Server Based Application,5,5,incident,3,1444305556.0,1,1
application,Web Based Application,4,4,incident,0,1507777778.0,1,1
application,Server Based Application,NS,3,incident,0,454166667.0,1,1
subapplication,Citrix,4,4,incident,0,802777778.0,1,1
application,Server Based Application,5,5,incident,5,2432277778.0,1,1
application,Desktop Application,5,5,incident,0,1926666667.0,1,1
application,Server Based Application,3,3,incident,0,425.0,1,1
subapplication,Web Based Application,4,4,incident,2,2916888889.0,1,1
application,Desktop Application,3,4,incident,1,1946388889.0,1,1
application,Server Based Application,5,5,request for information,2,62025.0,1,1
application,Server Based Application,3,3,incident,0,280277778.0,1,1
application,Server Based Application,5,5,request for information,0,33695.0,1,1
computer,Laptop,5,5,incident,2,1000194444.0,1,1
subapplication,Web Based Application,4,4,incident,2,28725.0,1,1
storage,SAN,4,4,incident,0,7876111111.0,1,1
application,Web Based Application,4,4,incident,0,23275.0,1,1
application,Web Based Application,4,4,incident,0,3457222222.0,2,1
computer,Laptop,5,5,incident,1,5946027778.0,1,1
application,Server Based Application,4,4,incident,0,1369166667.0,1,1
computer,Laptop,5,5,incident,0,2772833333.0,1,1
application,Server Based Application,5,5,request for information,0,2240833333.0,1,1
application,SAP,3,3,incident,6,27845.0,1,1
computer,Laptop,3,3,incident,11,1521422222.0,4,1
computer,Windows Server,4,4,incident,1,2745072222.0,1,1
application,Server Based Application,5,5,request for information,2,1365.0,1,1
application,Desktop Application,4,4,incident,0,9191666667.0,1,1
application,SAP,5,5,request for information,3,1574972222.0,1,1
application,SAP,5,5,request for information,2,2625111111.0,1,1
application,SAP,5,5,request for information,2,650225.0,1,1
application,SAP,5,5,request for information,0,46666667.0,1,1
application,Desktop Application,3,3,incident,0,2663333333.0,1,1
application,SAP,5,5,request for information,3,3493055556.0,1,1
subapplication,Web Based Application,4,4,incident,0,792222222.0,1,1
subapplication,Web Based Application,4,4,incident,1,4022583333.0,1,1
application,Server Based Application,5,5,request for information,4,4477111111.0,2,1
application,Server Based Application,5,5,incident,0,718055556.0,1,1
application,Desktop Application,5,5,incident,0,85.0,1,1
application,Server Based Application,5,5,request for information,0,40277778.0,1,1
application,Client Based Application,4,4,incident,0,839166667.0,1,1
application,Server Based Application,4,4,incident,2,2584527778.0,1,1
application,Web Based Application,3,3,incident,2,5188611111.0,1,1
application,SAP,4,4,incident,10,4715830556.0,1,1
application,Server Based Application,5,5,incident,2,3689972222.0,1,1
displaydevice,Monitor,5,5,incident,2,3586916667.0,1,1
application,Server Based Application,4,4,incident,0,834444444.0,1,1
application,Server Based Application,NS,3,incident,0,47777778.0,1,1
application,Server Based Application,5,5,request for information,2,2483888889.0,1,1
application,Web Based Application,4,4,incident,0,376944444.0,1,1
subapplication,Web Based Application,4,4,incident,2,5046388889.0,1,1
subapplication,Web Based Application,5,5,incident,2,6353888889.0,1,1
application,Desktop Application,3,3,incident,0,2350555556.0,1,1
application,SAP,5,5,request for information,0,29444444.0,1,1
subapplication,Web Based Application,4,4,incident,6,2980491667.0,2,1
application,Server Based Application,5,5,request for information,4,3377138889.0,1,1
application,Desktop Application,4,3,incident,1,1008333333.0,1,1
application,Server Based Application,5,5,request for information,0,28333333.0,1,1
application,SAP,5,5,request for information,2,203.0,1,1
application,Web Based Application,4,4,incident,5,2662833333.0,1,1
application,Server Based Application,5,5,request for information,1,7119972222.0,1,1
computer,Laptop,5,5,incident,0,5013722222.0,1,1
application,Server Based Application,4,4,incident,0,3791666667.0,1,1
subapplication,Web Based Application,4,4,incident,0,1517222222.0,1,1
application,Server Based Application,3,3,incident,2,1388416667.0,1,1
application,Server Based Application,4,4,incident,4,1378444444.0,1,1
application,Server Based Application,4,4,incident,2,3122527778.0,1,1
subapplication,Web Based Application,4,4,incident,0,374722222.0,1,1
computer,Banking Device,2,2,incident,0,3335277778.0,1,0
computer,Banking Device,3,3,incident,0,248475.0,1,1
application,Desktop Application,4,4,incident,0,9776388889.0,1,1
application,Server Based Application,5,5,request for information,0,175.0,1,1
subapplication,Web Based Application,3,3,incident,1,134166667.0,1,1
subapplication,Web Based Application,3,3,incident,0,1425833333.0,2,1
application,Web Based Application,4,4,incident,3,3306416667.0,1,1
application,Web Based Application,4,4,incident,0,1871111111.0,1,1
application,SAP,5,5,request for information,0,30277778.0,1,1
application,Server Based Application,5,5,request for information,0,69722222.0,1,1
computer,Banking Device,3,3,incident,0,455625.0,1,1
computer,Laptop,5,5,incident,0,1865722222.0,1,1
application,SAP,5,5,request for information,0,2731455556.0,1,1
application,Web Based Application,4,4,request for information,0,2177388889.0,1,1
application,Server Based Application,5,5,request for information,0,384166667.0,1,1
application,Server Based Application,5,5,incident,1,613275.0,1,1
application,Server Based Application,3,3,incident,0,1433333333.0,1,1
application,Server Based Application,5,5,request for information,0,2209972222.0,1,1
application,Server Based Application,NS,3,incident,0,1510555556.0,1,1
subapplication,Web Based Application,4,4,incident,0,2095277778.0,1,1
application,Server Based Application,5,5,request for information,0,51388889.0,1,1
application,SAP,4,4,incident,0,1421111111.0,1,1
application,Server Based Application,5,5,request for information,0,187222222.0,1,1
application,Web Based Application,5,5,incident,4,2513194444.0,1,1
application,Server Based Application,5,5,incident,0,11666667.0,1,1
application,Server Based Application,5,5,incident,0,961944444.0,1,1
application,Server Based Application,5,5,request for information,0,2170277778.0,1,1
application,Server Based Application,5,5,request for information,0,3724444444.0,1,1
application,Server Based Application,5,5,incident,0,7135.0,2,1
application,Web Based Application,4,4,incident,3,1233186111.0,2,1
application,Web Based Application,5,5,incident,0,18715.0,1,1
application,Server Based Application,5,3,incident,0,3753416667.0,1,1
computer,Desktop,5,5,incident,7,7586083333.0,2,1
subapplication,Web Based Application,4,4,incident,2,1383027778.0,1,1
application,Server Based Application,4,4,incident,0,495.0,1,1
application,Server Based Application,4,4,incident,3,2845.0,2,1
application,Server Based Application,5,5,request for information,0,2172722222.0,1,1
application,Web Based Application,4,4,incident,0,61388889.0,1,1
subapplication,Web Based Application,4,4,incident,0,9137777778.0,1,1
subapplication,Web Based Application,4,4,incident,0,725.0,1,1
application,Server Based Application,4,4,incident,4,4394527778.0,1,1
application,Server Based Application,5,5,request for information,2,6478305556.0,2,1
subapplication,Web Based Application,4,4,incident,0,145555556.0,1,1
application,Server Based Application,4,4,incident,0,438333333.0,1,1
application,Server Based Application,4,4,incident,0,271388889.0,1,1
application,Web Based Application,5,5,incident,0,6892777778.0,1,1
subapplication,Web Based Application,4,4,incident,0,1424722222.0,1,1
subapplication,Web Based Application,4,4,incident,4,1646944444.0,2,1
storage,SAN,4,4,incident,0,9487777778.0,1,1
application,Desktop Application,4,4,incident,0,5500472222.0,1,1
application,Server Based Application,4,4,incident,3,2081083333.0,1,1
application,Web Based Application,3,3,incident,0,701111111.0,1,1
application,Server Based Application,3,3,incident,0,1436111111.0,1,1
computer,Banking Device,2,2,incident,0,1376388889.0,1,0
subapplication,Web Based Application,4,4,incident,0,1532777778.0,1,1
application,Server Based Application,5,5,request for information,0,138611111.0,1,1
subapplication,Server Based Application,5,5,request for information,0,6027222222.0,1,1
application,Server Based Application,3,3,incident,0,761388889.0,1,1
subapplication,Web Based Application,4,4,incident,0,2215555556.0,1,1
application,Web Based Application,4,4,incident,0,87.0,1,1
application,Server Based Application,3,3,incident,3,9627777778.0,1,1
application,SAP,5,5,request for information,0,302777778.0,1,1
application,Server Based Application,3,3,incident,1,1332861111.0,1,1
application,Server Based Application,4,4,incident,0,1218888889.0,1,1
application,Server Based Application,3,3,incident,1,1274111111.0,1,1
application,Server Based Application,3,3,incident,2,2078111111.0,2,1
application,Server Based Application,3,3,incident,5,1716916667.0,1,1
application,Server Based Application,3,3,incident,1,1163944444.0,1,1
application,Server Based Application,NS,3,incident,1,1164638889.0,1,1
application,Server Based Application,5,5,request for information,4,6201194444.0,1,1
application,Server Based Application,3,3,incident,4,2387222222.0,2,1
application,Desktop Application,4,4,incident,2,1082861111.0,1,1
application,SAP,5,5,request for information,1,682777778.0,1,1
subapplication,Web Based Application,4,4,incident,0,144.0,1,1
subapplication,Web Based Application,4,4,incident,0,5745.0,1,1
application,Web Based Application,5,5,incident,0,1073333333.0,1,1
storage,Switch,3,3,incident,0,1780555556.0,1,1
software,Automation Software,4,4,incident,0,4081666667.0,1,1
application,Server Based Application,4,4,incident,3,1281027778.0,1,1
application,SAP,5,5,request for information,2,608055556.0,1,1
application,Server Based Application,5,5,request for information,4,4754888889.0,1,1
subapplication,Server Based Application,5,5,request for information,2,4051944444.0,3,1
application,Server Based Application,5,5,request for information,0,27222222.0,1,1
application,SAP,5,5,request for information,0,41388889.0,1,1
application,Server Based Application,5,5,request for information,0,110555556.0,1,1
application,Web Based Application,5,5,incident,8,5641972222.0,1,1
application,Server Based Application,5,5,request for information,2,3908277778.0,3,1
displaydevice,Monitor,4,4,incident,0,1527194444.0,1,1
storage,SAN,4,4,incident,0,148725.0,1,1
application,Desktop Application,5,5,incident,0,4293055556.0,1,1
application,Web Based Application,4,4,incident,0,568055556.0,1,1
subapplication,Web Based Application,5,5,incident,0,2610833333.0,1,1
application,Server Based Application,5,5,request for information,4,1691930556.0,2,1
application,Client Based Application,3,3,request for information,6,2693861111.0,2,1
application,Server Based Application,5,5,request for information,0,136775.0,1,1
application,Server Based Application,NS,3,incident,0,43.0,1,1
application,Server Based Application,4,4,incident,1,935833333.0,1,1
application,Client Based Application,NS,3,request for information,2,7435833333.0,2,1
application,Server Based Application,4,4,incident,0,8274722222.0,1,1
computer,Banking Device,2,2,incident,0,4822555556.0,1,0
application,Server Based Application,5,5,incident,0,771111111.0,1,1
application,Server Based Application,5,5,incident,0,785833333.0,1,1
application,Server Based Application,5,5,request for information,3,4209805556.0,1,1
application,Server Based Application,5,5,incident,0,8875.0,1,1
application,Server Based Application,4,4,incident,0,2877222222.0,1,1
application,Server Based Application,3,3,incident,0,256111111.0,1,1
application,Client Based Application,4,4,incident,3,1097666667.0,1,1
application,Desktop Application,4,4,incident,3,2182361111.0,1,1
application,Server Based Application,5,5,request for information,1,9715444444.0,1,1
application,Standard Application,4,4,incident,4,6927222222.0,1,1
application,SAP,5,5,request for information,2,1449861111.0,1,1
computer,Laptop,5,5,incident,0,4041055556.0,1,1
application,Server Based Application,4,4,incident,0,1118611111.0,1,1
subapplication,Web Based Application,4,4,incident,0,1636111111.0,1,1
subapplication,Web Based Application,4,4,incident,6,7771638889.0,2,1
application,Web Based Application,4,4,incident,0,5892777778.0,1,1
application,Server Based Application,3,3,incident,2,1524166667.0,1,1
application,Web Based Application,NS,3,incident,0,2857777778.0,1,1
subapplication,Web Based Application,4,4,incident,0,1637777778.0,1,1
subapplication,Server Based Application,5,5,request for information,0,305555556.0,1,1
application,Server Based Application,5,5,request for information,0,2712083333.0,1,1
application,Server Based Application,5,5,incident,3,51155.0,1,1
application,Web Based Application,4,4,incident,0,1135833333.0,1,1
subapplication,Web Based Application,4,4,incident,0,619722222.0,1,1
application,Web Based Application,4,5,incident,1,1476277778.0,1,1
subapplication,Web Based Application,4,4,incident,0,2900555556.0,1,1
application,Server Based Application,NS,3,incident,0,14722222.0,1,1
subapplication,Web Based Application,5,5,incident,0,4359166667.0,1,1
application,Server Based Application,NS,3,incident,1,2141111111.0,1,1
applicationcomponent,MQ Queue Manager,3,3,incident,2,3998611111.0,1,1
storage,SAN,3,3,incident,3,2217727778.0,1,1
application,SAP,5,5,request for information,0,58611111.0,1,1
application,SAP,5,5,request for information,0,275.0,1,1
computer,Desktop,4,4,incident,0,1026638889.0,1,1
computer,Laptop,5,5,incident,0,3147777778.0,1,1
computer,Banking Device,5,5,request for information,0,163333333.0,1,1
software,System Software,5,5,incident,1,3001388889.0,1,1
subapplication,Server Based Application,5,5,incident,3,2198527778.0,2,1
application,Web Based Application,5,5,incident,0,2303055556.0,1,1
application,Web Based Application,4,4,incident,1,2303222222.0,1,1
application,Server Based Application,4,4,incident,0,393055556.0,1,1
application,Web Based Application,5,5,incident,8,9094666667.0,1,1
computer,Laptop,5,5,incident,2,5583166667.0,1,1
application,Server Based Application,5,5,request for information,0,916666667.0,1,1
application,Web Based Application,3,3,incident,0,265555556.0,1,1
application,Server Based Application,5,5,incident,4,3331444444.0,1,1
subapplication,Web Based Application,4,4,incident,0,1459444444.0,1,1
application,Web Based Application,4,4,incident,1,1588722222.0,1,1
application,Server Based Application,4,4,incident,0,600555556.0,1,1
subapplication,Web Based Application,4,4,incident,0,1788333333.0,1,1
application,Server Based Application,4,4,incident,1,3880805556.0,2,1
displaydevice,Monitor,4,4,incident,0,4851861111.0,1,1
application,Server Based Application,NS,3,incident,0,31111111.0,1,1
application,Web Based Application,4,4,request for information,0,9929722222.0,1,1
subapplication,Web Based Application,4,4,incident,2,2988527778.0,1,1
computer,Banking Device,2,2,incident,0,2102805556.0,1,0
application,Web Based Application,5,5,incident,0,958333333.0,1,1
application,Server Based Application,5,5,request for information,2,2536666667.0,2,1
subapplication,Web Based Application,NS,3,incident,1,190675.0,1,1
application,Server Based Application,3,3,incident,0,683611111.0,1,1
application,Desktop Application,4,4,incident,2,8908333333.0,1,1
application,Server Based Application,3,3,incident,0,433333333.0,1,1
subapplication,Web Based Application,4,4,incident,2,1546611111.0,1,1
application,SAP,4,4,incident,1,899166667.0,1,1
application,Web Based Application,5,5,incident,0,364166667.0,1,1
application,Web Based Application,5,5,request for information,2,1076166667.0,1,1
application,SAP,4,4,incident,1,1573333333.0,1,1
storage,SAN,4,4,incident,0,8948055556.0,1,1
application,Web Based Application,4,4,incident,1,138888889.0,1,1
application,Web Based Application,4,4,incident,2,384444444.0,1,1
application,Server Based Application,4,4,incident,13,1042038889.0,2,1
computer,Desktop,5,5,incident,1,2619444444.0,1,1
computer,Laptop,5,5,incident,0,2125305556.0,1,1
storage,SAN,4,4,incident,0,1498694444.0,1,1
application,Standard Application,5,5,incident,1,3370027778.0,1,1
application,SAP,4,4,incident,1,1077222222.0,1,1
application,Web Based Application,4,4,incident,0,3461944444.0,1,1
application,Web Based Application,5,5,incident,1,907222222.0,1,1
computer,Laptop,5,5,incident,3,2127666667.0,1,1
application,Web Based Application,4,4,incident,1,5085833333.0,1,1
subapplication,Web Based Application,4,4,incident,0,146325.0,1,1
hardware,DataCenterEquipment,3,3,incident,0,3075.0,1,1
computer,Laptop,5,5,incident,2,1535441667.0,2,1
application,Server Based Application,4,4,incident,2,2175611111.0,1,1
application,Web Based Application,4,4,incident,0,4905833333.0,1,1
application,Server Based Application,NS,3,incident,0,281944444.0,1,1
application,Server Based Application,NS,3,request for information,0,1629666667.0,1,1
application,Server Based Application,3,3,request for information,0,3843611111.0,1,1
application,Server Based Application,4,4,incident,3,2847888889.0,1,1
computer,Windows Server,3,3,incident,0,1731388889.0,1,1
application,Web Based Application,5,5,incident,0,101666667.0,1,1
application,Server Based Application,4,4,incident,1,3327722222.0,1,1
application,Server Based Application,5,5,request for information,0,1647111111.0,1,1
application,Server Based Application,5,5,request for information,2,7461388889.0,1,1
subapplication,Web Based Application,4,4,incident,0,41375.0,1,1
application,Exchange,5,5,request for information,0,6470277778.0,2,1
subapplication,Server Based Application,5,5,request for information,1,15315.0,1,1
application,Desktop Application,5,5,request for information,0,1148361111.0,1,1
subapplication,Client Based Application,4,4,incident,0,1575166667.0,1,1
application,Server Based Application,4,4,incident,0,429444444.0,1,1
application,Server Based Application,5,5,request for information,0,2.0,1,1
application,Web Based Application,4,4,incident,0,724722222.0,1,1
application,Web Based Application,5,5,incident,11,935225.0,2,1
application,Server Based Application,5,5,request for information,4,7399527778.0,2,1
application,SAP,5,5,request for information,2,395833333.0,1,1
application,Web Based Application,4,4,incident,0,378611111.0,1,1
application,Server Based Application,4,4,incident,0,581666667.0,1,1
subapplication,Server Based Application,5,5,request for information,0,4816111111.0,1,1
application,Client Based Application,4,4,incident,6,1984027778.0,1,1
application,Web Based Application,4,4,incident,0,1439055556.0,1,1
application,Web Based Application,4,4,incident,0,22.0,1,1
application,Web Based Application,5,5,incident,0,6422222222.0,1,1
application,Web Based Application,3,3,incident,4,1409336111.0,2,1
application,Server Based Application,3,3,incident,0,26388889.0,1,1
application,Web Based Application,5,5,incident,0,7201388889.0,1,1
application,Web Based Application,4,4,incident,0,2211388889.0,1,1
application,Web Based Application,4,4,incident,1,1956083333.0,1,1
application,Desktop Application,4,4,incident,0,1156083333.0,2,1
application,Web Based Application,4,4,incident,0,1281944444.0,1,1
application,Web Based Application,3,3,incident,0,1107222222.0,1,1
computer,Banking Device,4,4,incident,3,8968055556.0,1,1
subapplication,Standard Application,4,4,incident,1,3438055556.0,1,1
application,Server Based Application,5,5,request for information,4,1227194444.0,1,1
application,Desktop Application,2,2,incident,0,35277778.0,1,0
application,Web Based Application,4,4,incident,2,7425416667.0,1,1
subapplication,Web Based Application,4,4,incident,0,3334444444.0,1,1
application,Web Based Application,4,4,incident,0,93055556.0,1,1
application,Server Based Application,5,5,request for information,1,4669138889.0,1,1
subapplication,Web Based Application,4,4,incident,0,785555556.0,1,1
application,Desktop Application,4,4,incident,0,1341305556.0,1,1
application,Server Based Application,4,4,incident,0,333611111.0,1,1
application,Server Based Application,4,4,incident,0,2240416667.0,2,1
application,Web Based Application,4,4,incident,1,7828216667.0,1,1
application,Web Based Application,5,5,incident,0,7348888889.0,1,1
application,Server Based Application,5,5,request for information,0,5808611111.0,1,1
application,Server Based Application,4,4,incident,6,4106888889.0,1,1
application,Server Based Application,NS,3,incident,0,233333333.0,1,1
application,Desktop Application,5,5,incident,0,4347777778.0,1,1
application,Web Based Application,4,5,incident,1,1448833333.0,1,1
subapplication,Web Based Application,4,4,incident,0,2396388889.0,1,1
application,Web Based Application,4,5,incident,0,9485277778.0,1,1
application,Web Based Application,NS,3,incident,4,8172233333.0,1,1
application,Server Based Application,3,3,incident,1,960555556.0,1,1
application,Server Based Application,4,4,incident,0,2911666667.0,1,1
application,Citrix,4,4,incident,0,678055556.0,1,1
subapplication,Web Based Application,4,4,incident,0,6412222222.0,1,1
subapplication,Web Based Application,4,4,incident,0,337777778.0,1,1
computer,Desktop,5,5,incident,0,1739416667.0,1,1
computer,Desktop,5,5,incident,0,1729138889.0,1,1
application,Server Based Application,4,4,incident,7,5368333333.0,1,1
application,Web Based Application,2,2,incident,0,4655833333.0,1,0
application,Web Based Application,4,4,incident,0,1210833333.0,1,1
application,Server Based Application,4,4,incident,7,5317305556.0,1,1
application,Web Based Application,4,4,incident,0,2125.0,1,1
application,Server Based Application,4,4,incident,0,440833333.0,1,1
displaydevice,Monitor,4,4,incident,0,1512527778.0,1,1
application,Server Based Application,4,4,incident,0,8676666667.0,1,1
application,Server Based Application,4,4,incident,0,8089722222.0,1,1
application,Web Based Application,4,4,incident,0,8309722222.0,1,1
application,Server Based Application,3,3,incident,2,5235277778.0,1,1
application,Web Based Application,4,4,incident,4,3387844444.0,1,1
application,Web Based Application,4,4,incident,3,7857780556.0,1,1
application,Server Based Application,4,4,request for information,1,221111111.0,1,1
subapplication,Web Based Application,4,4,incident,0,1661111111.0,1,1
application,Web Based Application,5,5,incident,0,3581333333.0,1,1
computer,Laptop,5,5,incident,4,2823222222.0,3,1
subapplication,Web Based Application,NS,3,incident,0,538333333.0,1,1
application,Server Based Application,3,3,incident,0,0.0,1,1
application,Desktop Application,5,5,incident,1,9205277778.0,2,1
application,Server Based Application,3,3,incident,0,456388889.0,1,1
displaydevice,Monitor,5,4,request for information,0,9444444.0,1,1
application,Web Based Application,5,5,incident,0,1657027778.0,1,1
computer,Laptop,5,5,incident,1,220833333.0,1,1
application,Server Based Application,5,5,request for information,0,5642777778.0,1,1
application,Web Based Application,5,5,incident,0,2168888889.0,1,1
displaydevice,Monitor,5,4,request for information,0,2641805556.0,1,1
application,Server Based Application,NS,3,incident,1,1145805556.0,1,1
subapplication,Web Based Application,4,4,incident,0,641388889.0,1,1
computer,Laptop,5,5,incident,0,12055.0,1,1
application,Server Based Application,4,4,incident,13,5896916667.0,2,1
application,Server Based Application,4,4,incident,1,544722222.0,1,1
computer,Laptop,5,5,incident,0,1.0,1,1
application,Server Based Application,5,5,incident,0,5708888889.0,1,1
application,Server Based Application,5,5,request for information,0,796388889.0,1,1
application,Server Based Application,4,4,incident,2,1824916667.0,1,1
subapplication,Web Based Application,4,4,incident,0,2180833333.0,1,1
application,Web Based Application,4,4,incident,4,1133041667.0,4,1
storage,Controller,3,3,incident,0,693888889.0,1,1
application,Citrix,4,4,incident,0,484166667.0,1,1
application,Server Based Application,4,4,incident,0,2056388889.0,2,1
subapplication,Web Based Application,4,4,incident,0,7711944444.0,1,1
computer,Desktop,5,5,incident,1,170555556.0,1,1
computer,Laptop,5,5,incident,2,46485.0,1,1
application,Server Based Application,4,4,incident,3,4671527778.0,3,1
application,Server Based Application,4,4,incident,1,5193333333.0,1,1
application,Web Based Application,4,4,incident,0,8524444444.0,1,1
application,Web Based Application,4,5,incident,2,2011111111.0,2,1
application,Server Based Application,4,4,incident,0,932222222.0,1,1
subapplication,Server Based Application,5,5,request for information,0,2198333333.0,1,1
application,Web Based Application,5,5,incident,0,1745555556.0,3,1
application,Server Based Application,3,3,incident,0,0.0,1,1
application,Citrix,4,4,incident,2,4404722222.0,3,1
officeelectronics,Printer,4,4,incident,0,971111111.0,1,1
application,Web Based Application,3,3,incident,0,1514444444.0,1,1
application,Web Based Application,3,3,incident,2,4842222222.0,1,1
subapplication,Citrix,4,4,incident,0,5080555556.0,1,1
application,Server Based Application,3,3,incident,0,1541944444.0,1,1
application,Server Based Application,5,5,incident,0,1625555556.0,1,1
application,Server Based Application,4,4,incident,1,169.0,1,1
application,Server Based Application,5,5,incident,0,1520166667.0,1,1
application,Citrix,4,4,incident,1,3425.0,1,1
application,Server Based Application,3,3,incident,1,8255555556.0,1,1
subapplication,Server Based Application,4,4,incident,0,57425.0,1,1
application,Desktop Application,4,4,incident,2,9414722222.0,1,1
application,Desktop Application,4,4,incident,0,25833333.0,1,1
application,Desktop Application,4,4,incident,0,669444444.0,1,1
displaydevice,Monitor,4,4,incident,0,7070555556.0,1,1
application,Server Based Application,4,4,incident,0,915833333.0,1,1
application,Server Based Application,4,4,incident,0,1503055556.0,1,1
application,Server Based Application,4,4,incident,0,846111111.0,1,1
computer,Laptop,5,5,incident,1,1172213889.0,1,1
application,Server Based Application,4,4,incident,6,1398694444.0,2,1
application,Server Based Application,3,3,incident,1,292777778.0,1,1
subapplication,Web Based Application,4,4,incident,0,426388889.0,1,1
application,Server Based Application,4,4,request for information,5,3460055556.0,3,1
application,Server Based Application,4,4,incident,0,1597222222.0,1,1
computer,Banking Device,4,4,incident,0,1249277778.0,1,1
application,Web Based Application,4,4,incident,0,7932777778.0,1,1
application,Server Based Application,NS,3,incident,0,796666667.0,1,1
subapplication,Web Based Application,4,4,incident,0,1970833333.0,1,1
application,Server Based Application,4,4,incident,0,638888889.0,1,1
application,Server Based Application,4,4,incident,0,778055556.0,1,1
storage,Controller,NS,3,incident,0,1131666667.0,1,1
storage,Controller,3,3,incident,0,2453611111.0,0,1
computer,Desktop,5,5,incident,2,1510111111.0,1,1
application,Web Based Application,4,5,incident,0,3671111111.0,1,1
application,Client Based Application,4,4,incident,0,6816111111.0,1,1
application,Server Based Application,4,4,incident,13,1536486111.0,1,1
application,Web Based Application,5,5,incident,1,8174861111.0,1,1
application,Server Based Application,4,4,incident,0,1705555556.0,1,1
application,SAP,5,5,request for information,4,12905.0,2,1
subapplication,Web Based Application,4,4,incident,0,645.0,1,1
application,Server Based Application,4,4,incident,6,2789416667.0,1,1
subapplication,Web Based Application,4,4,incident,0,861388889.0,1,1
application,Client Based Application,4,4,incident,0,306475.0,1,1
computer,Banking Device,3,3,incident,0,5793333333.0,1,1
application,Server Based Application,5,5,request for information,8,3798111111.0,3,1
application,Web Based Application,4,5,incident,0,98.0,1,1
application,SAP,5,5,request for information,2,9463611111.0,1,1
application,Server Based Application,NS,3,incident,0,1360277778.0,1,1
application,Server Based Application,4,4,incident,0,9134166667.0,1,1
application,Server Based Application,4,4,incident,2,3764694444.0,1,1
subapplication,Web Based Application,4,4,incident,0,1840833333.0,2,1
displaydevice,Monitor,4,4,incident,0,1571666667.0,1,1
application,Server Based Application,5,5,request for information,0,50555556.0,1,1
application,Server Based Application,5,5,request for information,2,2440722222.0,1,1
application,Web Based Application,5,5,request for information,0,4963055556.0,1,1
application,Server Based Application,4,4,incident,0,7360555556.0,1,1
subapplication,Web Based Application,4,4,incident,0,3858888889.0,0,1
application,Web Based Application,5,5,incident,0,5430555556.0,1,1
application,Web Based Application,4,5,incident,0,1370888889.0,1,1
subapplication,Web Based Application,4,4,incident,0,1143888889.0,1,1
application,SAP,5,5,request for information,2,354166667.0,1,1
application,Server Based Application,4,4,incident,0,1814166667.0,1,1
application,Server Based Application,5,5,request for information,0,16111111.0,1,1
application,SAP,5,5,request for information,0,30277778.0,1,1
displaydevice,Monitor,5,4,request for information,1,2354444444.0,1,1
application,Desktop Application,4,4,incident,0,1055055556.0,2,1
subapplication,Web Based Application,4,4,incident,2,1610138889.0,1,1
application,Server Based Application,3,3,incident,2,8508333333.0,1,1
computer,Banking Device,4,4,incident,0,2634555556.0,1,1
subapplication,Web Based Application,4,4,incident,0,1916666667.0,1,1
application,Server Based Application,4,4,incident,0,21675.0,1,1
application,Server Based Application,5,5,incident,0,349875.0,1,1
application,Server Based Application,5,5,request for information,3,8634166667.0,1,1
officeelectronics,Printer,4,4,incident,1,7787777778.0,1,1
storage,SAN,4,4,incident,0,1302111111.0,1,1
application,Web Based Application,4,4,incident,0,1485.0,1,1
computer,Laptop,5,5,incident,0,11944444.0,1,1
application,Web Based Application,4,4,incident,2,2060638889.0,1,1
application,Server Based Application,3,3,incident,0,30277778.0,1,1
storage,SAN,4,4,incident,0,9816361111.0,1,1
subapplication,Web Based Application,5,5,incident,0,9225.0,1,1
application,Web Based Application,5,5,incident,3,7344027778.0,1,1
application,Server Based Application,4,4,incident,1,2508472222.0,1,1
application,Server Based Application,4,4,incident,0,1209722222.0,1,1
computer,Banking Device,2,2,incident,0,4668333333.0,1,0
application,Web Based Application,5,5,incident,0,2156861111.0,1,1
application,Server Based Application,4,4,incident,0,908.0,1,1
application,Server Based Application,4,4,incident,0,5487222222.0,1,1
application,Web Based Application,4,4,incident,12,8347666667.0,2,1
application,Server Based Application,5,5,incident,3,4295861111.0,1,1
application,Server Based Application,3,3,incident,0,41111111.0,1,1
